"trait","beta","a","d","aa","ad","dd"
"d - d",NA,NA,194.5481377,NA,NA,NA
"d - d",NA,NA,-194.5481377,NA,NA,NA
"d",4.83,NA,5.920335425,NA,NA,NA
"d",202.14,NA,174.3190784,NA,NA,22.89695035
"d / d",NA,-0.002859226,-0.045511556,NA,0.006304951,0.015044093
"d / d",NA,0.572903337,7.009370206,NA,-1.225577763,NA
"d * d",NA,NA,3201.581687,NA,-122.0513312,1323.991028
"d + d",NA,NA,180.0826455,NA,NA,22.37954998
"d - d",NA,NA,-167.8979383,NA,NA,-23.91294538
"d - d",NA,NA,167.8979383,NA,NA,23.91294538
"d",0.082887036,NA,0.079571933,NA,NA,0.002536053
"d",6.32,NA,3.676012546,NA,NA,NA
"d / d",NA,NA,0.002028939,NA,NA,-0.000199303
"d / d",NA,NA,-5350.359968,NA,NA,3175.985916
"d * d",NA,NA,3.093877035,NA,NA,0.605918818
"d + d",NA,NA,3.738818874,NA,NA,NA
"d - d",NA,NA,-3.613069801,NA,NA,NA
"d - d",NA,NA,3.613069801,NA,NA,NA
"d",1.457,NA,5.393157865,2.157422032,NA,-1.686821015
"d",26.5,4.285699348,NA,-5.941041493,NA,22.18843745
"d / d",NA,-0.002389143,0.043990134,0.020404677,NA,-0.028373576
"d / d",NA,0.289661011,-6.330220102,-2.904574421,NA,4.01324035
"d * d",NA,NA,462.9119354,NA,157.0333308,252.7934233
"d + d",NA,4.321028964,NA,-4.812590824,NA,22.00355254
"d - d",NA,-4.256204655,NA,7.871787652,NA,-23.66358025
"d - d",NA,4.256204655,NA,-7.871787652,NA,23.66358025
"d",10.42,NA,NA,NA,NA,NA
"d",4.96,NA,5.063821516,NA,3.32091396,NA
"d / d",NA,NA,NA,NA,NA,NA
"d / d",NA,NA,NA,NA,NA,NA
"d * d",NA,NA,725.2464162,NA,NA,NA
"d + d",NA,NA,9.137528584,NA,NA,NA
"d - d",NA,NA,NA,NA,NA,NA
"d - d",NA,NA,NA,NA,NA,NA
"d",13.6,NA,13.56251088,NA,NA,NA
"d",0.0625,NA,0.064078078,NA,NA,NA
"d / d",NA,NA,45.9141532,NA,NA,-7.175728768
"d / d",NA,NA,-0.022476752,NA,NA,0.010611229
"d * d",NA,NA,3.053294188,NA,0.182142475,0.980976768
"d + d",NA,NA,13.62680142,NA,NA,NA
"d - d",NA,NA,13.49801596,NA,NA,NA
"d - d",NA,NA,-13.49801596,NA,NA,NA
"d",12.2,NA,11.76695231,NA,-0.375171087,NA
"d",9.3,NA,4.757480732,-1.713447999,NA,NA
"d / d",NA,NA,0.434136087,0.046201993,NA,-0.119118561
"d / d",NA,NA,-2.217711099,-0.149399896,NA,0.988812746
"d * d",NA,NA,320.18514,NA,NA,150.7220609
"d + d",NA,NA,20.45810885,NA,NA,NA
"d - d",NA,NA,4.99663801,NA,NA,NA
"d - d",NA,NA,-4.99663801,NA,NA,NA
"d",64.612,NA,67.40834929,NA,NA,NA
"d",15.07,NA,13.82497839,NA,NA,NA
"d / d",NA,NA,0.844686212,0.450567109,NA,-0.368735587
"d / d",NA,NA,-0.048572518,-0.021368558,NA,0.021879956
"d * d",NA,NA,2290.350946,NA,NA,1107.438617
"d + d",NA,NA,79.69508928,NA,NA,NA
"d - d",NA,NA,57.92714513,5.836147114,3.146646197,NA
"d - d",NA,NA,-57.92714513,-5.836147114,-3.146646197,NA
"d",2.5,NA,2.140653634,NA,NA,NA
"d",0.26,NA,0.274782871,NA,NA,NA
"d / d",NA,NA,NA,NA,NA,NA
"d / d",NA,NA,NA,NA,NA,NA
"d * d",NA,NA,8.349884045,NA,NA,NA
"d + d",NA,NA,2.432046234,NA,NA,NA
"d - d",NA,NA,1.865140042,NA,NA,NA
"d - d",NA,NA,-1.865140042,NA,NA,NA
"d",1.6,NA,2.570524116,NA,NA,NA
"d",2.63886,-0.001730542,2.646742118,NA,0.003932744,-0.00560046
"d / d",NA,NA,827.516691,NA,NA,-562.0083138
"d / d",NA,NA,0.119293057,-0.008081661,NA,NA
"d * d",NA,NA,58.56992135,3.411899421,NA,NA
"d + d",NA,NA,5.95048011,NA,NA,NA
"d - d",NA,NA,NA,0.625091104,NA,NA
"d - d",NA,NA,NA,-0.625091104,NA,NA
"d",0.17,0.024301685,0.162137062,NA,NA,NA
"d",20,NA,20.32058241,NA,NA,NA
"d / d",NA,NA,-0.003037209,NA,NA,NA
"d / d",NA,NA,4.911415836,NA,-2.423104031,NA
"d * d",NA,NA,42.65405587,NA,NA,NA
"d + d",NA,NA,20.49098945,NA,NA,NA
"d - d",NA,NA,-20.14815627,NA,NA,NA
"d - d",NA,NA,20.14815627,NA,NA,NA
"d",18.9,NA,18.97076515,NA,NA,NA
"d",16.73,NA,14.44748075,NA,NA,NA
"d / d",NA,NA,0.148526842,NA,NA,NA
"d / d",NA,NA,-4.636756695,NA,NA,1.936791346
"d * d",NA,NA,2388.201416,NA,NA,NA
"d + d",NA,NA,35.52009969,NA,NA,NA
"d - d",NA,NA,NA,NA,NA,NA
"d - d",NA,NA,NA,NA,NA,NA
"d",6.4,NA,6.784789928,NA,NA,NA
"d",0.242,NA,0.184232362,NA,NA,NA
"d / d",NA,NA,2.371823098,NA,NA,NA
"d / d",NA,NA,-0.191709607,NA,NA,0.085995153
"d * d",NA,NA,19.97061915,NA,NA,NA
"d + d",NA,NA,7.064610077,NA,NA,NA
"d - d",NA,NA,6.482488506,NA,NA,NA
"d - d",NA,NA,-6.482488506,NA,NA,NA
"d",4.41,0.138134055,6.569694506,0.775012549,NA,-1.281019525
"d",0.203125,NA,0.212014496,NA,NA,NA
"d / d",NA,0.624094534,NA,NA,NA,NA
"d / d",NA,-0.001450702,NA,NA,NA,NA
"d * d",NA,NA,4.507475249,NA,NA,NA
"d + d",NA,0.123201088,6.625092997,0.710688066,NA,-1.198771281
"d - d",NA,0.154108926,6.507995021,0.839133547,NA,-1.357795043
"d - d",NA,-0.154108926,-6.507995021,-0.839133547,NA,1.357795043
"d",35.7,NA,37.98055858,NA,NA,NA
"d",11.93,NA,54.77175922,16.22701025,NA,-24.72463257
"d / d",NA,NA,NA,-0.057054788,NA,0.072109579
"d / d",NA,NA,NA,0.084964405,NA,-0.079131234
"d * d",NA,NA,7175.035033,746.3254085,NA,NA
"d + d",NA,NA,67.00510003,NA,NA,NA
"d - d",NA,NA,NA,-7.248239332,NA,12.94112738
"d - d",NA,NA,NA,7.248239332,NA,-12.94112738
"d",10.46,NA,10.66289503,NA,NA,-0.337473352
"d",0.73,0.04360221,0.762542604,NA,NA,NA
"d / d",NA,-0.035548076,2.75595068,NA,NA,-0.538964601
"d / d",NA,0.008341502,-0.710960791,NA,NA,0.354355543
"d * d",NA,NA,44.3817258,NA,NA,3.593985516
"d + d",NA,NA,11.26117792,NA,NA,NA
"d - d",NA,-0.104278229,9.815121091,NA,NA,NA
"d - d",NA,0.104278229,-9.815121091,NA,NA,NA
"d",1.8,NA,3.04706823,NA,NA,NA
"d",215.32,NA,219.9428955,NA,NA,NA
"d / d",NA,NA,-0.01832584,NA,0.002909314,0.006086321
"d / d",NA,1.073559125,17.84220418,NA,-4.551424815,NA
"d * d",NA,NA,2895.496197,458.8205446,NA,NA
"d + d",NA,NA,222.1579721,NA,NA,NA
"d - d",NA,NA,-217.7489131,NA,NA,NA
"d - d",NA,NA,217.7489131,NA,NA,NA
"d",5.64,NA,7.502610774,NA,NA,NA
"d",2.003,NA,1.969406981,NA,NA,NA
"d / d",NA,NA,-10.62603052,NA,NA,3.927104499
"d / d",NA,NA,0.033083611,NA,NA,NA
"d * d",NA,2.714369418,105.5101909,NA,NA,NA
"d + d",NA,NA,9.57700043,NA,NA,NA
"d - d",NA,NA,5.077369697,NA,NA,NA
"d - d",NA,NA,-5.077369697,NA,NA,NA
"d",0.220751609,NA,0.217893002,NA,NA,NA
"d",0.35,NA,0.303595568,NA,NA,NA
"d / d",NA,NA,0.233519754,NA,NA,-0.071397762
"d / d",NA,NA,-3.343635005,NA,NA,1.573663131
"d * d",NA,NA,0.15483534,NA,-0.009999589,0.088828422
"d + d",NA,NA,0.524418271,NA,NA,NA
"d - d",NA,NA,-0.058185604,NA,NA,NA
"d - d",NA,NA,0.058185604,NA,NA,NA
"d",1.37,NA,1.533171239,NA,NA,NA
"d",23.06,0.097774205,22.59480264,NA,NA,NA
"d / d",NA,NA,-1.33325004,NA,NA,0.741430825
"d / d",NA,NA,3.338122184,NA,NA,-0.329809303
"d * d",NA,NA,131.746984,NA,NA,30.15616881
"d + d",NA,0.168630379,24.34996739,NA,-0.380138146,NA
"d - d",NA,NA,-20.9809915,NA,NA,NA
"d - d",NA,NA,20.9809915,NA,NA,NA
"d",0.182,NA,NA,NA,NA,0.067263987
"d",0.47,NA,0.382433514,NA,NA,NA
"d / d",NA,NA,NA,NA,NA,NA
"d / d",NA,NA,NA,NA,NA,NA
"d * d",NA,NA,0.78144219,NA,0.487305067,NA
"d + d",NA,NA,0.47438782,NA,0.211051575,NA
"d - d",NA,NA,-0.257526365,NA,NA,NA
"d - d",NA,NA,0.257526365,NA,NA,NA
"d",23.1,NA,36.08909483,NA,NA,NA
"d",3.3,NA,1.812482802,NA,NA,NA
"d / d",NA,NA,NA,NA,NA,NA
"d / d",NA,NA,NA,0.006075352,NA,NA
"d * d",NA,NA,1146.186189,NA,NA,NA
"d + d",NA,NA,38.11474428,NA,NA,NA
"d - d",NA,NA,33.5652834,NA,NA,NA
"d - d",NA,NA,-33.5652834,NA,NA,NA
"d",36.4,NA,37.42443544,NA,NA,NA
"d",20.62,NA,20.96676374,NA,NA,NA
"d / d",NA,-0.053032394,NA,NA,0.108279658,NA
"d / d",NA,NA,NA,NA,NA,NA
"d * d",NA,NA,2559.582476,NA,NA,663.2871233
"d + d",NA,NA,58.57087638,NA,NA,NA
"d - d",NA,-1.041057595,16.52706138,NA,NA,NA
"d - d",NA,1.041057595,-16.52706138,NA,NA,NA
"d",0.5,NA,0.467398501,NA,NA,NA
"d",4.5,NA,NA,-2.67049675,NA,NA
"d / d",NA,NA,NA,NA,NA,NA
"d / d",NA,NA,-1.900028408,NA,NA,NA
"d * d",NA,NA,27.50367852,NA,NA,NA
"d + d",NA,NA,NA,-2.63283145,NA,NA
"d - d",NA,NA,NA,2.57662123,NA,NA
"d - d",NA,NA,NA,-2.57662123,NA,NA
"d",0.588417099,NA,0.589265642,NA,NA,NA
"d",2.74,NA,2.6135766,NA,NA,NA
"d / d",NA,NA,0.04741131,NA,NA,-0.005523944
"d / d",NA,NA,-321.027194,NA,NA,197.7820247
"d * d",NA,NA,6.822052494,NA,NA,1.278454829
"d + d",NA,NA,3.18173156,NA,NA,NA
"d - d",NA,NA,-1.935907992,NA,NA,NA
"d - d",NA,NA,1.935907992,NA,NA,NA
"d",0.182,NA,0.234712288,NA,NA,NA
"d",0.328,NA,0.341216989,NA,NA,NA
"d / d",NA,NA,-14.16940322,NA,NA,6.938103699
"d / d",NA,0.002576222,0.176911403,NA,NA,NA
"d * d",NA,NA,0.632469726,NA,NA,NA
"d + d",NA,NA,0.599609373,NA,NA,-0.123114355
"d - d",NA,NA,NA,NA,NA,-0.1900258
"d - d",NA,NA,NA,NA,NA,0.1900258
"d",3.4,NA,NA,NA,NA,NA
"d",9,NA,12.38958808,0.981002328,0.639098251,-1.644673333
"d / d",NA,NA,-2.657863385,NA,NA,1.113377767
"d / d",NA,NA,0.084385065,NA,NA,NA
"d * d",NA,NA,1274.921476,NA,NA,NA
"d + d",NA,NA,13.27952972,NA,NA,NA
"d - d",NA,NA,NA,4.102343991,NA,NA
"d - d",NA,NA,NA,-4.102343991,NA,NA
"d",0.77,NA,0.823063768,NA,NA,NA
"d",17.4,NA,17.12642632,NA,NA,NA
"d / d",NA,NA,-0.037079477,0.017519329,NA,NA
"d / d",NA,NA,1.010206217,-0.425817555,NA,NA
"d * d",NA,NA,172.5129949,NA,23.52435318,NA
"d + d",NA,0.459768823,17.99201014,NA,NA,NA
"d - d",NA,NA,-15.93802738,NA,NA,NA
"d - d",NA,NA,15.93802738,NA,NA,NA
"d",0.089333333,NA,NA,NA,NA,0.098662725
"d",8.4,NA,NA,-1.307919147,NA,4.731837901
"d / d",NA,NA,-0.002867903,NA,NA,NA
"d / d",NA,NA,1.679247957,NA,NA,NA
"d * d",NA,NA,NA,NA,NA,14.96178445
"d + d",NA,NA,NA,-1.2708029,NA,4.817342148
"d - d",NA,NA,NA,1.317563023,NA,-4.571447598
"d - d",NA,NA,NA,-1.317563023,NA,4.571447598
"d",6.43,NA,5.946330813,NA,NA,NA
"d",0.88,NA,0.625709689,NA,NA,NA
"d / d",NA,NA,0.319946528,NA,NA,NA
"d / d",NA,NA,-0.041987139,NA,NA,NA
"d * d",NA,NA,66.65451463,NA,NA,NA
"d + d",NA,NA,6.637832531,NA,NA,NA
"d - d",NA,NA,5.204348055,NA,NA,NA
"d - d",NA,NA,-5.204348055,NA,NA,NA
"d",10.5,NA,10.30994471,NA,-0.657380794,NA
"d",25.51,NA,25.97236437,NA,NA,NA
"d / d",NA,NA,0.02207172,NA,NA,NA
"d / d",NA,NA,-0.240655008,NA,NA,NA
"d * d",NA,NA,697.4754611,NA,NA,226.3918303
"d + d",NA,NA,36.19154751,NA,NA,NA
"d - d",NA,NA,-15.84589715,NA,NA,NA
"d - d",NA,NA,15.84589715,NA,NA,NA
"d",0.8,NA,0.715209712,NA,NA,NA
"d",0.67,NA,0.666346146,NA,NA,NA
"d / d",NA,NA,NA,NA,NA,NA
"d / d",NA,NA,NA,NA,NA,NA
"d * d",NA,NA,5.856962033,1.118156613,NA,NA
"d + d",NA,NA,1.677555852,0.27516148,NA,NA
"d - d",NA,NA,NA,NA,NA,NA
"d - d",NA,NA,NA,NA,NA,NA
"d",179.93,NA,176.9891292,NA,NA,NA
"d",22.3,NA,23.30608597,NA,NA,NA
"d / d",NA,NA,0.400067619,NA,NA,NA
"d / d",NA,NA,-0.012615892,NA,NA,NA
"d * d",NA,NA,14387.83232,NA,NA,3138.536255
"d + d",NA,NA,200.5591625,NA,NA,NA
"d - d",NA,NA,153.301275,NA,NA,NA
"d - d",NA,NA,-153.301275,NA,NA,NA
"d",0.96,0.017966024,0.952176023,NA,NA,NA
"d",89.62,NA,92.33715335,NA,NA,NA
"d / d",NA,NA,NA,NA,NA,NA
"d / d",NA,NA,NA,NA,NA,NA
"d * d",NA,NA,260.5062181,NA,NA,104.7244251
"d + d",NA,NA,93.28948554,NA,NA,NA
"d - d",NA,NA,-91.38557552,NA,NA,NA
"d - d",NA,NA,91.38557552,NA,NA,NA
"d",0.6,0.061792395,0.643805937,NA,NA,NA
"d",2.3,-0.409910917,1.588782093,NA,NA,NA
"d / d",NA,0.013042048,NA,NA,NA,NA
"d / d",NA,-0.1118214,NA,NA,NA,NA
"d * d",NA,NA,30.71216057,NA,NA,NA
"d + d",NA,-0.38444044,2.63465732,NA,NA,NA
"d - d",NA,0.456480483,NA,NA,NA,NA
"d - d",NA,-0.456480483,NA,NA,NA,NA
"d",63.74,NA,62.23618637,NA,NA,NA
"d",153,NA,153.7467514,NA,NA,NA
"d / d",NA,NA,-6.338715476,NA,NA,3.670366326
"d / d",NA,NA,0.982971836,NA,NA,-0.292454931
"d * d",NA,NA,22791.12914,NA,NA,9451.183936
"d + d",NA,NA,214.6350057,NA,NA,NA
"d - d",NA,NA,-90.72826684,NA,NA,NA
"d - d",NA,NA,90.72826684,NA,NA,NA
"d",62,NA,61.91323841,NA,NA,NA
"d",50.3,NA,51.2707857,NA,NA,NA
"d / d",NA,NA,-0.653075457,NA,NA,NA
"d / d",NA,NA,0.125572323,NA,NA,NA
"d * d",NA,NA,11529.38821,NA,NA,2091.83696
"d + d",NA,NA,114.3085081,NA,NA,NA
"d - d",NA,NA,NA,-6.783908422,NA,NA
"d - d",NA,NA,NA,6.783908422,NA,NA
"d",3.24,NA,2.036758985,NA,NA,NA
"d",27.77,NA,28.44786866,NA,NA,NA
"d / d",NA,NA,-0.01105976,NA,-0.006688353,NA
"d / d",NA,NA,0.423067586,NA,0.295509315,NA
"d * d",NA,43.61602882,754.1778475,NA,NA,NA
"d + d",NA,1.24473827,30.94860149,NA,NA,NA
"d - d",NA,NA,-25.93482578,NA,-3.81145318,NA
"d - d",NA,NA,25.93482578,NA,3.81145318,NA
"d",67.83,4.304405631,53.96127907,NA,NA,12.27942619
"d",1.6,NA,1.976078787,NA,NA,NA
"d / d",NA,0.264839267,NA,NA,NA,1.002468686
"d / d",NA,-0.003463551,-0.02372242,NA,NA,NA
"d * d",NA,NA,1728.625518,NA,NA,NA
"d + d",NA,3.940219433,61.41815527,NA,NA,NA
"d - d",NA,4.541040123,45.64032668,NA,NA,16.62820837
"d - d",NA,-4.541040123,-45.64032668,NA,NA,-16.62820837
"d",91,NA,103.2460844,NA,-6.869144532,NA
"d",17.3,NA,17.15195387,NA,NA,NA
"d / d",NA,NA,-21.11845694,NA,NA,11.5510882
"d / d",NA,NA,0.090981959,NA,0.003407093,-0.032234377
"d * d",NA,NA,2763.383542,205.7039663,NA,1223.759514
"d + d",NA,NA,121.592638,NA,-6.613027331,NA
"d - d",NA,NA,85.02014508,NA,-7.068105912,NA
"d - d",NA,NA,-85.02014508,NA,7.068105912,NA
"d",0.194,NA,0.191231201,NA,NA,NA
"d",23.3,NA,24.97629056,NA,NA,NA
"d / d",NA,NA,NA,0.000583441,NA,NA
"d / d",NA,NA,NA,NA,NA,NA
"d * d",NA,NA,12.93207648,NA,NA,4.260382327
"d + d",NA,NA,25.17122734,NA,NA,NA
"d - d",NA,NA,-24.78143541,NA,NA,NA
"d - d",NA,NA,24.78143541,NA,NA,NA
"d",71.7,NA,73.63791027,NA,NA,NA
"d",0.382,NA,0.325772118,NA,NA,NA
"d / d",NA,NA,19.3882006,NA,NA,NA
"d / d",NA,NA,-0.013952297,NA,NA,0.005246645
"d * d",NA,NA,274.4802046,NA,NA,NA
"d + d",NA,NA,74.05691775,NA,NA,NA
"d - d",NA,NA,73.21734783,NA,NA,NA
"d - d",NA,NA,-73.21734783,NA,NA,NA
"d",11.67,NA,11.58160757,NA,NA,NA
"d",12.67,NA,NA,-3.464108455,NA,NA
"d / d",NA,NA,NA,NA,NA,NA
"d / d",NA,NA,NA,NA,NA,NA
"d * d",NA,NA,1040.554431,NA,NA,NA
"d + d",NA,NA,23.48256832,NA,NA,NA
"d - d",NA,NA,NA,NA,NA,NA
"d - d",NA,NA,NA,NA,NA,NA
"d",3.69,NA,3.583086719,NA,NA,NA
"d",7.9,NA,7.198471962,NA,NA,0.732958914
"d / d",NA,NA,-0.218691965,NA,NA,NA
"d / d",NA,NA,0.318547579,NA,NA,NA
"d * d",NA,NA,80.20679732,NA,NA,40.66508751
"d + d",NA,NA,11.06421682,NA,NA,NA
"d - d",NA,NA,-4.003231729,NA,NA,NA
"d - d",NA,NA,4.003231729,NA,NA,NA
"d",1.52,NA,1.422325819,NA,NA,NA
"d",2.0333334,NA,2.137415437,NA,NA,NA
"d / d",NA,NA,0.05006297,NA,NA,NA
"d / d",NA,NA,-0.175410195,NA,NA,NA
"d * d",NA,NA,11.13411482,NA,NA,1.724914399
"d + d",NA,NA,3.463851069,NA,NA,NA
"d - d",NA,NA,-0.794739796,NA,NA,NA
"d - d",NA,NA,0.794739796,NA,NA,NA
"d",0.9,NA,NA,NA,NA,NA
"d",4.02,NA,4.411557397,NA,NA,NA
"d / d",NA,NA,-0.318922955,0.154782794,NA,NA
"d / d",NA,NA,0.157903464,NA,NA,NA
"d * d",NA,NA,97.84448835,NA,NA,NA
"d + d",NA,NA,5.159964632,NA,NA,NA
"d - d",NA,NA,-2.174552674,0.959250347,NA,NA
"d - d",NA,NA,2.174552674,-0.959250347,NA,NA
"d",71.7,NA,73.18314864,NA,NA,NA
"d",14.15,NA,13.47724618,NA,NA,NA
"d / d",NA,NA,0.65492051,NA,NA,NA
"d / d",NA,NA,-0.06409039,NA,NA,NA
"d * d",NA,NA,5006.436603,639.2043383,NA,NA
"d + d",NA,NA,87.32656341,NA,NA,NA
"d - d",NA,NA,60.26026095,NA,NA,NA
"d - d",NA,NA,-60.26026095,NA,NA,NA
"d",0.34,NA,0.34599352,NA,NA,NA
"d",61.08333334,NA,61.11044287,NA,NA,NA
"d / d",NA,NA,-0.017385316,NA,NA,0.008537133
"d / d",NA,NA,62.26259618,NA,NA,-18.97613356
"d * d",NA,NA,53.1082757,NA,NA,19.45337082
"d + d",NA,NA,61.45343986,NA,NA,NA
"d - d",NA,NA,-60.76722113,NA,NA,NA
"d - d",NA,NA,60.76722113,NA,NA,NA
"d",0.17,NA,0.17985485,NA,NA,NA
"d",31.64,NA,34.94701152,NA,NA,NA
"d / d",NA,NA,NA,NA,NA,0.000288337
"d / d",NA,NA,NA,NA,NA,-13.04896308
"d * d",NA,NA,30.26010806,NA,NA,NA
"d + d",NA,NA,35.08721468,NA,NA,NA
"d - d",NA,NA,-34.80690719,NA,NA,NA
"d - d",NA,NA,34.80690719,NA,NA,NA
"d",5.07,NA,2.654879507,-2.072890016,NA,NA
"d",9.01,NA,7.321882925,NA,NA,NA
"d / d",NA,NA,NA,NA,NA,-0.061556011
"d / d",NA,NA,NA,NA,NA,0.117455103
"d * d",NA,NA,400.6026933,NA,NA,NA
"d + d",NA,NA,12.60354749,NA,NA,NA
"d - d",NA,NA,NA,NA,NA,-5.322635268
"d - d",NA,NA,NA,NA,NA,5.322635268
"d",0.339,NA,NA,NA,NA,0.151331037
"d",118.1,NA,121.2056277,NA,NA,NA
"d / d",NA,NA,-0.106265424,-0.003019856,NA,0.059729735
"d / d",NA,NA,71.30489437,6.627715019,NA,-16.66761934
"d * d",NA,NA,251.5348113,NA,NA,33.19505535
"d + d",NA,NA,120.9192224,NA,NA,NA
"d - d",NA,NA,-121.5527035,NA,NA,NA
"d - d",NA,NA,121.5527035,NA,NA,NA
"d",0.831966386,NA,1.013711295,0.076664601,NA,-0.088179677
"d",12.9,NA,12.25527262,NA,NA,NA
"d / d",NA,NA,0.023150577,NA,NA,-0.007193587
"d / d",NA,NA,-23.53653939,NA,NA,10.76791268
"d * d",NA,NA,31.40551751,2.625101197,NA,7.217366397
"d + d",NA,NA,13.10858035,NA,NA,NA
"d - d",NA,NA,-11.40254712,NA,NA,NA
"d - d",NA,NA,11.40254712,NA,NA,NA
"d",42.25,NA,48.11891208,NA,9.567113486,NA
"d",3.3,NA,3.111374079,NA,NA,NA
"d / d",NA,NA,NA,NA,NA,NA
"d / d",NA,NA,NA,NA,NA,NA
"d * d",NA,NA,1435.362266,NA,NA,NA
"d + d",NA,NA,51.60744485,NA,9.846674823,NA
"d - d",NA,NA,44.85560771,NA,9.20599008,NA
"d - d",NA,NA,-44.85560771,NA,-9.20599008,NA
"d",0.72875,NA,0.735217165,NA,NA,NA
"d",34.61,NA,34.53068605,NA,NA,NA
"d / d",NA,NA,-0.005198204,NA,NA,NA
"d / d",NA,NA,6.071117556,NA,NA,NA
"d * d",NA,NA,44.0880621,NA,NA,22.05530845
"d + d",NA,NA,35.25129158,NA,NA,NA
"d - d",NA,NA,-33.80930186,NA,NA,NA
"d - d",NA,NA,33.80930186,NA,NA,NA
"d",20.7,NA,20.49497997,NA,2.024896272,NA
"d",1.52,NA,1.588385917,NA,NA,NA
"d / d",NA,NA,-6.426313833,NA,0.484826155,3.116006757
"d / d",NA,NA,0.017332213,NA,NA,-0.007378625
"d * d",NA,NA,69.23037111,NA,3.07848978,26.07901831
"d + d",NA,NA,22.06290608,NA,2.062055089,NA
"d - d",NA,NA,18.94149529,NA,1.987658735,NA
"d - d",NA,NA,-18.94149529,NA,-1.987658735,NA
"d",3.4,NA,8.085530391,1.867214232,NA,-2.997874222
"d",20.7,NA,20.72769244,NA,NA,NA
"d / d",NA,NA,-0.229977598,NA,-0.01762927,0.070885452
"d / d",NA,NA,0.859448753,NA,0.087021623,NA
"d * d",NA,NA,517.064022,76.51650372,NA,NA
"d + d",NA,NA,27.15834367,NA,NA,NA
"d - d",NA,NA,-17.18255928,NA,-1.422365022,NA
"d - d",NA,NA,17.18255928,NA,1.422365022,NA
"d",2.929,NA,1.47676874,-1.261019781,NA,NA
"d",0.7,NA,1.280972789,NA,NA,NA
"d / d",NA,NA,NA,-0.062429561,NA,NA
"d / d",NA,NA,NA,0.06154324,NA,NA
"d * d",NA,NA,62.85941567,NA,NA,NA
"d + d",NA,NA,4.097122593,NA,NA,NA
"d - d",NA,NA,NA,-1.174817503,NA,NA
"d - d",NA,NA,NA,1.174817503,NA,NA
"d",0.287,NA,0.299726582,NA,NA,NA
"d",18,NA,16.95975579,NA,NA,NA
"d / d",NA,NA,0.004025558,NA,NA,-0.001155984
"d / d",NA,NA,-75.24790951,NA,NA,34.36160805
"d * d",NA,NA,19.69680237,NA,NA,2.779864233
"d + d",NA,NA,17.25388483,NA,NA,NA
"d - d",NA,NA,-16.66562077,NA,NA,NA
"d - d",NA,NA,16.66562077,NA,NA,NA
"d",6.1,NA,10.36656397,NA,NA,NA
"d",0.035,NA,NA,NA,NA,NA
"d / d",NA,NA,13.05407233,NA,NA,NA
"d / d",NA,NA,-0.003974029,NA,NA,0.001120629
"d * d",NA,NA,5.03779378,NA,NA,NA
"d + d",NA,NA,10.36755356,NA,NA,NA
"d - d",NA,NA,10.36316569,NA,NA,NA
"d - d",NA,NA,-10.36316569,NA,NA,NA
"d",35.67,NA,50.73904089,6.666740037,7.193322301,-9.783962692
"d",2,NA,1.910569178,NA,NA,NA
"d / d",NA,NA,NA,NA,1.238274392,NA
"d / d",NA,NA,NA,NA,-0.004158009,NA
"d * d",NA,NA,351.780415,NA,NA,NA
"d + d",NA,NA,50.07803915,5.56415233,7.097390202,-8.203020422
"d - d",NA,NA,51.34459533,7.748470643,7.287424935,-11.32697782
"d - d",NA,NA,-51.34459533,-7.748470643,-7.287424935,11.32697782
"d",10.9,NA,10.83560664,NA,NA,NA
"d",8.07,NA,7.557114995,NA,NA,NA
"d / d",NA,NA,0.240874291,NA,NA,NA
"d / d",NA,NA,-1.438474866,NA,NA,0.552939961
"d * d",NA,NA,406.3589355,NA,NA,NA
"d + d",NA,NA,18.41830451,NA,NA,NA
"d - d",NA,NA,NA,NA,NA,NA
"d - d",NA,NA,NA,NA,NA,NA
"d",5.04,NA,5.070258557,NA,NA,NA
"d",30.7,-1.737898784,31.56062705,NA,NA,NA
"d / d",NA,0.004728163,NA,NA,NA,NA
"d / d",NA,-0.225216296,NA,NA,NA,NA
"d * d",NA,NA,581.2404593,NA,NA,140.4542152
"d + d",NA,-1.712107923,36.53488059,NA,NA,NA
"d - d",NA,1.754252601,-26.58854907,NA,NA,NA
"d - d",NA,-1.754252601,26.58854907,NA,NA,NA
"d",0.043,NA,0.043300888,NA,0.000420684,NA
"d",13.885,NA,13.08096355,NA,NA,NA
"d / d",NA,NA,0.000844842,NA,NA,-0.000152883
"d / d",NA,NA,-9531.29112,NA,NA,5580.365659
"d * d",NA,NA,2.205772124,NA,NA,0.494957015
"d + d",NA,NA,13.12434485,NA,NA,NA
"d - d",NA,NA,-13.0375822,NA,NA,NA
"d - d",NA,NA,13.0375822,NA,NA,NA
"d",23.2,NA,20.94140066,NA,NA,NA
"d",7.3,NA,9.111461969,NA,4.47812441,NA
"d / d",NA,NA,0.134506823,NA,-0.042566827,NA
"d / d",NA,NA,-0.239333972,NA,0.090262607,NA
"d * d",NA,NA,2211.984426,NA,NA,NA
"d + d",NA,NA,30.74431296,NA,NA,NA
"d - d",NA,NA,8.487769946,NA,-3.964697399,NA
"d - d",NA,NA,-8.487769946,NA,3.964697399,NA
"d",4.8,NA,4.507488139,NA,NA,NA
"d",13.5,NA,13.2720727,NA,NA,NA
"d / d",NA,NA,-0.065289255,NA,NA,NA
